Episode 97 Score: 231, Clipped_Total: 11, Mean_Q: 0
Episode 98 Score: 231, Clipped_Total: 11, Mean_Q: 0
Episode 99 Score: 168, Clipped_Total: 8, Mean_Q: 0
Episode 100 Score: 378, Clipped_Total: 18, Mean_Q: 1
Episode 101 Score: 315, Clipped_Total: 15, Mean_Q: 2
Episode 102 Score: 273, Clipped_Total: 13, Mean_Q: 0
Episode 103 Score: 168, Clipped_Total: 8, Mean_Q: 1
Episode 104 Score: 210, Clipped_Total: 10, Mean_Q: 2
Episode 105 Score: 294, Clipped_Total: 14, Mean_Q: 1
Episode 106 Score: 231, Clipped_Total: 11, Mean_Q: 0
Episode 107 Score: 273, Clipped_Total: 13, Mean_Q: 1
Episode 108 Score: 126, Clipped_Total: 6, Mean_Q: 2
Episode 109 Score: 315, Clipped_Total: 15, Mean_Q: 1
Episode 110 Score: 189, Clipped_Total: 9, Mean_Q: 1
Episode 111 Score: 189, Clipped_Total: 9, Mean_Q: 1
Episode 112 Score: 462, Clipped_Total: 22, Mean_Q: 1
Episode 113 Score: 252, Clipped_Total: 12, Mean_Q: 1
Episode 114 Score: 168, Clipped_Total: 8, Mean_Q: 1
Episode 115 Score: 231, Clipped_Total: 11, Mean_Q: 2
Episode 116 Score: 126, Clipped_Total: 6, Mean_Q: 0
Episode 117 Score: 294, Clipped_Total: 14, Mean_Q: 1
Episode 118 Score: 252, Clipped_Total: 12, Mean_Q: 1
Episode 119 Score: 210, Clipped_Total: 10, Mean_Q: 0
Episode 120 Score: 210, Clipped_Total: 10, Mean_Q: 1
Episode 121 Score: 210, Clipped_Total: 10, Mean_Q: 0
Episode 122 Score: 210, Clipped_Total: 10, Mean_Q: 0
Episode 123 Score: 336, Clipped_Total: 16, Mean_Q: 1
Episode 124 Score: 189, Clipped_Total: 9, Mean_Q: 1
Episode 125 Score: 399, Clipped_Total: 19, Mean_Q: 0
Episode 126 Score: 210, Clipped_Total: 10, Mean_Q: 1
Episode 127 Score: 189, Clipped_Total: 9, Mean_Q: 1
Episode 128 Score: 399, Clipped_Total: 19, Mean_Q: 0
Episode 129 Score: 210, Clipped_Total: 10, Mean_Q: 2
Episode 130 Score: 168, Clipped_Total: 8, Mean_Q: 1
Episode 131 Score: 252, Clipped_Total: 12, Mean_Q: 0
Episode 132 Score: 273, Clipped_Total: 13, Mean_Q: 2
Episode 133 Score: 231, Clipped_Total: 11, Mean_Q: 0
Episode 134 Score: 273, Clipped_Total: 13, Mean_Q: 2
Episode 135 Score: 273, Clipped_Total: 13, Mean_Q: 2
Episode 136 Score: 273, Clipped_Total: 13, Mean_Q: 0
Episode 137 Score: 273, Clipped_Total: 13, Mean_Q: 2
Episode 138 Score: 504, Clipped_Total: 24, Mean_Q: 1
Episode 139 Score: 231, Clipped_Total: 11, Mean_Q: 2
Episode 140 Score: 252, Clipped_Total: 12, Mean_Q: 2
Episode 141 Score: 231, Clipped_Total: 11, Mean_Q: 1
Episode 142 Score: 189, Clipped_Total: 9, Mean_Q: 0
Episode 143 Score: 126, Clipped_Total: 6, Mean_Q: 2
Episode 144 Score: 294, Clipped_Total: 14, Mean_Q: 2
Episode 145 Score: 210, Clipped_Total: 10, Mean_Q: 3
Episode 146 Score: 210, Clipped_Total: 10, Mean_Q: 0
Episode 147 Score: 273, Clipped_Total: 13, Mean_Q: 0
Episode 148 Score: 315, Clipped_Total: 15, Mean_Q: 1
Episode 149 Score: 252, Clipped_Total: 12, Mean_Q: 0
Episode 150 Score: 189, Clipped_Total: 9, Mean_Q: 0
Episode 151 Score: 231, Clipped_Total: 11, Mean_Q: 1
Episode 152 Score: 315, Clipped_Total: 15, Mean_Q: 1
Episode 153 Score: 252, Clipped_Total: 12, Mean_Q: 0
Episode 154 Score: 399, Clipped_Total: 19, Mean_Q: 0
Episode 155 Score: 168, Clipped_Total: 8, Mean_Q: 1
Episode 156 Score: 210, Clipped_Total: 10, Mean_Q: 1
Episode 157 Score: 294, Clipped_Total: 14, Mean_Q: 0
Episode 158 Score: 168, Clipped_Total: 8, Mean_Q: 0
Episode 159 Score: 189, Clipped_Total: 9, Mean_Q: 2
Episode 160 Score: 189, Clipped_Total: 9, Mean_Q: 0
Episode 161 Score: 189, Clipped_Total: 9, Mean_Q: 1
Episode 162 Score: 210, Clipped_Total: 10, Mean_Q: 0
Episode 163 Score: 294, Clipped_Total: 14, Mean_Q: 1
Episode 164 Score: 210, Clipped_Total: 10, Mean_Q: 0
Episode 165 Score: 273, Clipped_Total: 13, Mean_Q: 0
Episode 166 Score: 315, Clipped_Total: 15, Mean_Q: 1
Episode 167 Score: 336, Clipped_Total: 16, Mean_Q: 2
Episode 168 Score: 105, Clipped_Total: 5, Mean_Q: 2
Episode 169 Score: 294, Clipped_Total: 14, Mean_Q: 1
Episode 170 Score: 210, Clipped_Total: 10, Mean_Q: 0
Episode 171 Score: 189, Clipped_Total: 9, Mean_Q: 0
Episode 172 Score: 231, Clipped_Total: 11, Mean_Q: 0
Episode 173 Score: 168, Clipped_Total: 8, Mean_Q: 2
Episode 174 Score: 189, Clipped_Total: 9, Mean_Q: 1
Episode 175 Score: 378, Clipped_Total: 18, Mean_Q: 0
Episode 176 Score: 252, Clipped_Total: 12, Mean_Q: 0
Episode 177 Score: 189, Clipped_Total: 9, Mean_Q: 1
Episode 178 Score: 210, Clipped_Total: 10, Mean_Q: 0
Episode 179 Score: 231, Clipped_Total: 11, Mean_Q: 1
Episode 180 Score: 357, Clipped_Total: 17, Mean_Q: 1
Episode 181 Score: 126, Clipped_Total: 6, Mean_Q: 2
Episode 182 Score: 105, Clipped_Total: 5, Mean_Q: 1
Episode 183 Score: 273, Clipped_Total: 13, Mean_Q: 3
Episode 184 Score: 294, Clipped_Total: 14, Mean_Q: 0
Episode 185 Score: 294, Clipped_Total: 14, Mean_Q: 2
Episode 186 Score: 189, Clipped_Total: 9, Mean_Q: 2
Episode 187 Score: 210, Clipped_Total: 10, Mean_Q: 2
Episode 188 Score: 252, Clipped_Total: 12, Mean_Q: 1
Episode 189 Score: 273, Clipped_Total: 13, Mean_Q: 2
Episode 190 Score: 315, Clipped_Total: 15, Mean_Q: 1
