0: Score: 189, Mean Q: 1
1: Score: 294, Mean Q: 1
2: Score: 273, Mean Q: 1
3: Score: 336, Mean Q: 1
4: Score: 441, Mean Q: 1
5: Score: 252, Mean Q: 1
6: Score: 294, Mean Q: 1
7: Score: 189, Mean Q: 1
8: Score: 336, Mean Q: 2
9: Score: 147, Mean Q: 1
10: Score: 189, Mean Q: 1
11: Score: 315, Mean Q: 2
12: Score: 315, Mean Q: 1
13: Score: 210, Mean Q: 1
14: Score: 210, Mean Q: 1
15: Score: 210, Mean Q: 1
16: Score: 189, Mean Q: 0
17: Score: 252, Mean Q: 1
18: Score: 357, Mean Q: 1
19: Score: 231, Mean Q: 1
20: Score: 336, Mean Q: 1
21: Score: 357, Mean Q: 1
22: Score: 357, Mean Q: 1
23: Score: 189, Mean Q: 1
24: Score: 147, Mean Q: 1
25: Score: 210, Mean Q: 1
26: Score: 210, Mean Q: 2
27: Score: 231, Mean Q: 1
28: Score: 294, Mean Q: 1
29: Score: 231, Mean Q: 1
30: Score: 399, Mean Q: 1
31: Score: 189, Mean Q: 1
32: Score: 252, Mean Q: 0
33: Score: 168, Mean Q: 1
34: Score: 315, Mean Q: 0
35: Score: 294, Mean Q: 1
36: Score: 63, Mean Q: 1
37: Score: 231, Mean Q: 1
38: Score: 189, Mean Q: 2
39: Score: 126, Mean Q: 1
40: Score: 189, Mean Q: 1
41: Score: 273, Mean Q: 1
42: Score: 231, Mean Q: 1
43: Score: 189, Mean Q: 1
44: Score: 294, Mean Q: 1
45: Score: 294, Mean Q: 1
46: Score: 231, Mean Q: 1
47: Score: 252, Mean Q: 1
48: Score: 126, Mean Q: 0
49: Score: 294, Mean Q: 1
50: Score: 357, Mean Q: 1
51: Score: 399, Mean Q: 1
52: Score: 189, Mean Q: 1
53: Score: 336, Mean Q: 1
54: Score: 273, Mean Q: 2
55: Score: 210, Mean Q: 1
56: Score: 336, Mean Q: 0
57: Score: 294, Mean Q: 1
58: Score: 399, Mean Q: 0
59: Score: 336, Mean Q: 0
60: Score: 210, Mean Q: 1
61: Score: 294, Mean Q: 1
62: Score: 252, Mean Q: 1
63: Score: 273, Mean Q: 1
64: Score: 357, Mean Q: 2
65: Score: 336, Mean Q: 2
66: Score: 252, Mean Q: 1
67: Score: 210, Mean Q: 1
68: Score: 189, Mean Q: 0
69: Score: 189, Mean Q: 0
70: Score: 189, Mean Q: 0
71: Score: 273, Mean Q: 0
72: Score: 231, Mean Q: 1
73: Score: 294, Mean Q: 1
74: Score: 273, Mean Q: 0
75: Score: 210, Mean Q: 1
76: Score: 210, Mean Q: 0
77: Score: 210, Mean Q: 0
78: Score: 336, Mean Q: 0
79: Score: 210, Mean Q: 2
80: Score: 168, Mean Q: 2
81: Score: 399, Mean Q: 2
82: Score: 378, Mean Q: 2
83: Score: 231, Mean Q: 0
84: Score: 273, Mean Q: 1
85: Score: 168, Mean Q: 2
86: Score: 210, Mean Q: 1
87: Score: 294, Mean Q: 0
88: Score: 315, Mean Q: 2
89: Score: 231, Mean Q: 0
90: Score: 210, Mean Q: 0
91: Score: 231, Mean Q: 0
92: Score: 441, Mean Q: 0
93: Score: 273, Mean Q: 1
94: Score: 231, Mean Q: 2
95: Score: 336, Mean Q: 2
96: Score: 210, Mean Q: 2
97: Score: 294, Mean Q: 2
98: Score: 252, Mean Q: 1
99: Score: 147, Mean Q: 1
100: Score: 336, Mean Q: 0
101: Score: 189, Mean Q: 0
102: Score: 294, Mean Q: 1
103: Score: 357, Mean Q: 1
104: Score: 210, Mean Q: 1
105: Score: 105, Mean Q: 1
106: Score: 105, Mean Q: 0
107: Score: 210, Mean Q: 0
108: Score: 420, Mean Q: 1
109: Score: 147, Mean Q: 1
110: Score: 210, Mean Q: 1
111: Score: 126, Mean Q: 0
112: Score: 273, Mean Q: 0
113: Score: 231, Mean Q: 0
114: Score: 210, Mean Q: 1
115: Score: 357, Mean Q: 2
116: Score: 378, Mean Q: 1
117: Score: 231, Mean Q: 2
118: Score: 210, Mean Q: 2
119: Score: 231, Mean Q: 1
120: Score: 273, Mean Q: 1
121: Score: 189, Mean Q: 2
122: Score: 210, Mean Q: 2
123: Score: 210, Mean Q: 0
124: Score: 399, Mean Q: 0
125: Score: 231, Mean Q: 2
126: Score: 273, Mean Q: 3
127: Score: 189, Mean Q: 2
128: Score: 252, Mean Q: 0
129: Score: 252, Mean Q: 0
130: Score: 294, Mean Q: 2
131: Score: 399, Mean Q: 2
132: Score: 378, Mean Q: 2
133: Score: 294, Mean Q: 1
134: Score: 315, Mean Q: 1
135: Score: 189, Mean Q: 0
136: Score: 315, Mean Q: 2
137: Score: 189, Mean Q: 2
138: Score: 294, Mean Q: 1
139: Score: 504, Mean Q: 1
140: Score: 357, Mean Q: 0
141: Score: 210, Mean Q: 0
142: Score: 231, Mean Q: 2
143: Score: 210, Mean Q: 1
144: Score: 273, Mean Q: 1
145: Score: 273, Mean Q: 1
146: Score: 147, Mean Q: 1
147: Score: 252, Mean Q: 2
148: Score: 189, Mean Q: 1
149: Score: 210, Mean Q: 1
150: Score: 189, Mean Q: 1
151: Score: 357, Mean Q: 1
152: Score: 315, Mean Q: 0
153: Score: 189, Mean Q: 1
154: Score: 126, Mean Q: 1
155: Score: 294, Mean Q: 0
156: Score: 105, Mean Q: 2
157: Score: 189, Mean Q: 2
158: Score: 315, Mean Q: 0
159: Score: 336, Mean Q: 0
160: Score: 189, Mean Q: 1
161: Score: 252, Mean Q: 0
162: Score: 210, Mean Q: 2
163: Score: 210, Mean Q: 2
164: Score: 378, Mean Q: 2
165: Score: 168, Mean Q: 1
166: Score: 189, Mean Q: 1
167: Score: 189, Mean Q: 0
168: Score: 273, Mean Q: 2
169: Score: 252, Mean Q: 0
