0: Score: 189, Mean Q: 1
170: Score: 189, Mean Q: 2
171: Score: 189, Mean Q: 0
172: Score: 273, Mean Q: 1
173: Score: 231, Mean Q: 2
174: Score: 273, Mean Q: 2
175: Score: 189, Mean Q: 1
176: Score: 231, Mean Q: 1
177: Score: 189, Mean Q: 1
178: Score: 126, Mean Q: 1
179: Score: 168, Mean Q: 0
180: Score: 315, Mean Q: 0
181: Score: 231, Mean Q: 0
182: Score: 189, Mean Q: 0
183: Score: 315, Mean Q: 0
184: Score: 189, Mean Q: 1
185: Score: 126, Mean Q: 0
186: Score: 315, Mean Q: 2
187: Score: 189, Mean Q: 0
188: Score: 189, Mean Q: 2
189: Score: 294, Mean Q: 2
190: Score: 189, Mean Q: 1
191: Score: 231, Mean Q: 2
192: Score: 315, Mean Q: 2
193: Score: 252, Mean Q: 1
194: Score: 252, Mean Q: 1
195: Score: 315, Mean Q: 2
196: Score: 189, Mean Q: 0
197: Score: 336, Mean Q: 0
198: Score: 294, Mean Q: 1
199: Score: 252, Mean Q: 2
