Episode 1 Score: 357, Clipped_Total: 17, Mean_Q: 2
Episode 2 Score: 189, Clipped_Total: 9, Mean_Q: 2
Episode 3 Score: 210, Clipped_Total: 10, Mean_Q: 2
Episode 4 Score: 294, Clipped_Total: 14, Mean_Q: 1
Episode 5 Score: 231, Clipped_Total: 11, Mean_Q: 2
Episode 6 Score: 210, Clipped_Total: 10, Mean_Q: 2
Episode 7 Score: 315, Clipped_Total: 15, Mean_Q: 2
Episode 8 Score: 210, Clipped_Total: 10, Mean_Q: 2
Episode 9 Score: 315, Clipped_Total: 15, Mean_Q: 2
Episode 10 Score: 273, Clipped_Total: 13, Mean_Q: 1
Episode 11 Score: 231, Clipped_Total: 11, Mean_Q: 1
Episode 12 Score: 294, Clipped_Total: 14, Mean_Q: 2
Episode 13 Score: 252, Clipped_Total: 12, Mean_Q: 0
Episode 14 Score: 315, Clipped_Total: 15, Mean_Q: 1
Episode 15 Score: 189, Clipped_Total: 9, Mean_Q: 1
Episode 16 Score: 273, Clipped_Total: 13, Mean_Q: 1
Episode 17 Score: 189, Clipped_Total: 9, Mean_Q: 0
Episode 18 Score: 231, Clipped_Total: 11, Mean_Q: 1
Episode 19 Score: 420, Clipped_Total: 20, Mean_Q: 1
Episode 20 Score: 189, Clipped_Total: 9, Mean_Q: 1
